Var1,Var2,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M22,M23
1,3,0.5945,0.3739375,0.0299999999999999,0.0685413929040736,0.62899495374264,0.679457527333894,296.920765552203,164.0625,136.71875,375,183.247780346492,18.3232543822201,19.7723276948002,4.12728462049991,15.0018842938068,3.31343726178036,0,P
1,3,0.5458125,0.27040625,0.215,0.167744890364688,0.495419672506584,0.889327836940341,474.6064283784,542.96875,191.40625,449.21875,235.605012081517,6.17477564332772,5.57341626566247,2.97127966782358,11.431528479045,3.74078288392245,0,P
1,4,0.7165625,0.34384375,0.14,0.0303955344293751,0.479851722634103,0.675228957697339,425.072865561312,472.65625,152.34375,257.8125,226.964641182027,8.90466692926932,8.79725881082418,3.49091755419092,10.6272871387254,4.41399061599292,0,V
1,4,0.70790625,0.47003125,0.195,0,0.663973866596035,0.939434070542533,448.621766544333,492.1875,164.0625,304.6875,223.442897025665,28.0838214362157,27.7615297516752,2.7799860403105,15.6038668559074,3.07504395997753,0,V
1,4,0.83415625,0.35690625,0.31,0,0.427864983328962,0.799497995729217,337.415578505319,347.65625,128.90625,191.40625,161.381132008483,15.6182362852978,14.0115124206336,3.44468587426554,13.8091501991362,3.12754483924869,0,V
1,5,0.63609375,0.28946875,0.295,0.0536451169188446,0.455072463768116,0.918840579710144,709.718815865443,468.75,238.28125,523.4375,295.337927732287,17.3389898900542,13.174585508438,3.5908374590341,14.9745341052822,3.93811998082382,0,P
1,5,0.308625,0.14975,0.13,0,0.48521668691778,0.90643985419198,633.795024646051,644.53125,234.375,660.15625,255.373805282717,27.4847874050846,25.2531813267502,3.04263696231384,15.2545529470899,3.12487799371074,0,P
1,1,0.8881875,0.18878125,0.19,0,0.21254661881641,0.426465414115826,686.666720390441,753.90625,140.625,253.90625,176.195807834644,30.1057590674123,28.1862073338156,4.3446150472394,23.4332191597354,2.82295489653118,0,V
1,1,1.21071875,0.15075,0.195,0,0.124512815218233,0.285574168236843,741.498164297888,734.375,125,375,217.94070556521,21.1559635191868,17.9735796607223,3.65557627040632,19.124330143139,4.44349199263618,0,V
1,2,1.17140625,0.57728125,0.32,0.454756442405165,0.49281045751634,0.765986394557823,647.934196243512,781.25,93.75,246.09375,133.701520893905,5.3355583447916,-0.630123711246608,5.21587350079416,10.5721147698621,3.78879692758126,0,P
1,2,0.51425,0.21365625,0.265,0.454639363188917,0.415471560525036,0.930785123966941,540.576784640453,382.8125,187.5,667.96875,226.343804830341,8.108483986253,-3.51383263528373,3.1935909234184,12.6172424028068,7.40580424913303,0,P
1,2,1.37796875,0.35128125,0.4,0.548303701015965,0.254926862456061,0.545209207393128,511.815992559144,386.71875,210.9375,484.375,242.351558984746,2.88027603760989,-5.34289802770954,3.50507542431409,9.61822433511062,4.67384281781634,0,S
1,2,1.481875,0.37528125,0.365,0.535353535353535,0.253247574862927,0.499557148882328,511.675670520652,382.8125,210.9375,515.625,243.111794331331,2.45328226845362,-7.24631683399227,3.4964414209416,9.46626995898423,4.51923042082527,0,S
1,2,1.79690625,0.58840625,0.545,0.477809467496783,0.327455174692614,0.630754247752213,550.524397830643,425.78125,214.84375,449.21875,250.379419781198,2.38825224482289,-6.50634616918582,3.69326205384592,11.157722014216,7.68601884841652,0,S
1,2,1.67628125,0.54834375,0.445,0.591700533164312,0.327119181223318,0.592587759363173,492.572224392493,371.09375,214.84375,562.5,244.51418845697,4.40003567708775,-6.55845032120042,3.05744700769642,11.1673076963732,7.75182483756148,0,S
1,2,1.9686875,0.682593749999999,0.46,0.632533849743647,0.34672529286644,0.580383504238229,493.94263925056,371.09375,214.84375,605.46875,243.8372083186,5.43670410270133,-6.42596184405926,2.88277179991646,10.7353903554183,7.40706532541163,0,S
