Var1,Var2,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M22,M23
1,1,0.36440625,0.1630625,0.165,0,0.447474487608266,0.900265843409655,568.481422800782,656.25,214.84375,664.0625,269.665178105547,12.8825853574692,10.1007687835406,3.28285755081994,13.5881165569069,5.36440158831692,0,P
1,1,1.05278125,0.703,0.295,0.107806470762838,0.667755053578319,0.947965211196532,498.35405751283,324.21875,207.03125,671.875,277.89297485144,8.02287610864404,5.63244550732493,3.54853990856582,11.3169927348186,4.74782523429909,0,A
1,2,0.77590625,0.4591875,0.27,0,0.591807966490796,0.939788150952514,588.658852772082,371.09375,156.25,683.59375,262.61533860063,46.2458661660171,42.8268441840848,3.28740000397055,20.6172190131994,3.48976230386076,0,A
1,2,0.490875,0.1719375,0.27,0,0.350267379679144,0.900305576776164,547.248777396896,367.1875,203.125,667.96875,241.930154425552,13.5601338905689,10.0636611387022,3.52613673062256,15.8111218490195,5.30177713352577,0,A
1,2,0.76709375,0.4146875,0.295,0.0892129705067623,0.540595592129384,0.925163971157371,597.738648864405,339.84375,214.84375,742.1875,295.603000074857,10.5839793033603,8.91129207330654,3.27059004072461,12.8257567305814,5.31958152913146,0,A
1,2,0.8325,0.49346875,0.29,0.283622987125108,0.592755255255255,0.941103603603603,558.535079558452,695.3125,199.21875,710.9375,279.482351736348,9.74365220353067,2.56932232277553,3.24155165776435,11.4361897651699,6.58758458577289,0,A
1,2,0.95059375,0.5519375,0.36,0.281854043392505,0.580623952135178,0.959334626384825,538.478490792406,347.65625,203.125,683.59375,267.101401340407,10.4753997194542,3.2864125596509,3.40684957924274,12.9618313178861,6.58009729423795,0,A
1,2,1.19446875,0.79790625,0.355,0.374398283800753,0.668000941841299,0.965204196426235,583.152958478161,343.75,199.21875,707.03125,255.139790746462,8.53304536671676,0.836825603505586,3.80564273028758,12.5124040589094,5.15160762625906,0,A
1,2,0.77303125,0.55596875,0.21,0,0.719206047620972,0.990863888102841,587.877187574735,476.5625,179.6875,550.78125,226.897345079179,28.511021395967,26.4209355417423,3.23363518285464,19.5955189036477,4.14571567988049,0,A
1,3,2.99990625,2.70121875,0.13,0.0152294839475822,0.900434388574642,0.943769076116961,396.985616621691,363.28125,89.84375,371.09375,157.830451800872,17.7988983673819,14.8849637934661,3.64169901306691,15.0600827153531,3.19659912108099,0,T
1,3,3.388125,1.3075,0.0149999999999999,0.023491758976582,0.385906659287954,0.390333886736764,255.642838456086,195.3125,140.625,238.28125,192.780617514699,10.5248819472354,13.5464861076356,3.43395809455701,15.9349799789334,3.97057243301793,0,T
1,3,2.7901875,1.1680625,1.21,0,0.418632260376766,0.852294872656407,316.922665953394,187.5,156.25,195.3125,174.475453462089,23.8723032310425,18.3568299193561,3.20915521509741,18.0619654224309,2.71138148353563,0,T
1,3,2.27634375,1.32228125,0.56,0,0.580879425613991,0.826887964526447,430.357811992652,214.84375,164.0625,226.5625,192.724265203666,30.2612683047953,26.4286535177643,3.71878033396001,20.6540778301581,3.15910624606313,0,T
1,4,0.4429375,0.25421875,0.145,0,0.573938196698179,0.901298151545082,912.265178676419,1289.0625,183.59375,644.53125,196.446157418531,35.3369866559534,36.3270616772963,3.30532428735636,18.6865422865918,2.91129398230348,0,A
