Var1,Var2,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M22,M23
1,1,0.30684375,0.1905,0.105,0,0.620837152459516,0.963030858539565,417.097679255345,335.9375,214.84375,351.5625,235.415841745716,41.2571651972604,31.2203340066731,3.03864189016872,19.3920771434464,3.47403388542918,0,P
1,1,1.1760625,0.15021875,0.43,0.136096718480138,0.127730243928362,0.49335707073391,423.711722357264,367.1875,210.9375,578.125,253.488318070728,12.9268130283948,2.18245908314821,2.74873277016135,10.8672925906287,6.54470034487351,0,S
1,1,1.61628125,0.232375,0.505,0.0608831831715711,0.143771388797587,0.456217010498637,417.738686030984,410.15625,218.75,437.5,277.413216316647,13.480788242559,8.03885297606536,2.64513393484657,9.87522194407884,5.0066575312045,0,S
1,1,1.8325625,0.52640625,0.545,0.28601879167164,0.287251457999386,0.584649227516114,416.228636345866,410.15625,218.75,437.5,280.097058552357,10.3962170023256,3.84527083070576,2.76038366209345,8.91567523563452,5.13432482416684,0,S
1,1,1.86490625,0.548624999999999,0.59,0.27118871275847,0.294183688858354,0.610553479564991,401.340183452791,343.75,222.65625,578.125,258.884225425453,10.6998665819493,-4.50950402746567,2.70637027973703,11.2762336185028,6.85081330814318,0,S
1,1,1.4755,0.905062499999999,0.505,0.513247347353707,0.613393764825482,0.955650626906133,390.734546022134,343.75,226.5625,601.5625,253.321806455977,3.97337735959041,-6.47528356807732,2.77342643832358,10.4636308410985,7.54077794041968,0,A
1,1,1.4801875,1.0776875,0.375,0.52040450102392,0.728074990499514,0.981421272642823,459.172434840411,382.8125,218.75,515.625,248.133542379897,3.86452156312039,-5.00246023797543,3.1375484782087,12.8476348472775,8.44709449270236,0,A
1,1,1.74415625,1.4295625,0.28,0.51331207223994,0.81962983534302,0.980165911167648,432.54514961812,382.8125,222.65625,437.5,245.772782727632,-1.61608868857891,-7.62190864860703,3.25682779318907,13.5233520711819,7.34812875502685,0,A
1,2,0.326,0.187,0.155,0,0.57361963190184,1.04907975460123,370.981886635941,332.03125,218.75,359.375,235.827281197674,39.9428979690345,31.7176207805464,2.9003280333841,19.5487124041501,3.02377704203247,0,P
1,2,2.34471875,1.04253125,0.23,0,0.444629553118044,0.542722341432208,363.184056176933,230.46875,207.03125,238.28125,226.927958120765,25.8705658014654,27.3237578337222,3.36359925938283,18.0483590840916,2.06161848253968,0,A
1,2,1.17746875,0.24509375,0.36,0.119400212314225,0.208153082618965,0.51389368083017,418.452037437669,363.28125,218.75,554.6875,262.873039745719,12.1469900395132,2.94244896789144,2.64701724879463,10.4522394537644,6.71589732369971,0,T
1,2,1.589875,0.5155,0.6,0.194763842207677,0.324239326991115,0.701627486437613,424.709512179028,417.96875,222.65625,433.59375,276.14415495153,10.2162797838431,2.07420230598416,2.8203170920505,9.41358842886099,6.327231490042,0,S
1,2,1.67340625,0.5014375,0.59,0.280597572362278,0.299650787129545,0.652225064893835,409.653678677059,355.46875,234.375,441.40625,260.832165826499,9.40361956615483,-4.40069408050102,2.83594919325199,10.9158272049086,6.52960150986983,0,S
1,2,1.7513125,0.612656249999999,0.59,0.324643577253181,0.34982691552764,0.686717105028371,398.413518695877,371.09375,230.46875,511.71875,254.391881154084,9.39431340687916,-4.62101181982107,2.60676484166454,10.7774081446582,6.96744839760403,0,S
1,2,1.4455,0.890843749999999,0.475,0.537345699029336,0.616287616741611,0.944893635420269,379.667374090113,339.84375,226.5625,562.5,250.855264924521,4.91463422702303,-6.18183952198968,2.70653493621601,11.7058807359026,7.57517340227882,0,S
1,2,1.5139375,1.12659375,0.35,0.506842528949161,0.744148123684101,0.975333360855385,380.761198548038,378.90625,222.65625,515.625,246.528713112408,3.68601852235746,-6.49596506304419,2.74218351413863,13.2833616905635,8.04719537324928,0,A
1,2,1.72740625,1.299875,0.405,0.2610803574659,0.752501040215641,0.986956600394377,376.536881603613,378.90625,222.65625,457.03125,241.826237056916,3.30985761022945,-3.5371646986798,2.90515845875692,17.1394047392775,7.37561614870161,0,A
1,2,1.8495,1.5863125,0.265,0.311599222776041,0.857698026493646,1.00097999459313,357.453119421605,359.375,222.65625,402.34375,240.232378882792,3.02702845967844,-1.79494603778664,3.1006462858788,14.9757866504603,7.13566391324819,0,A
