Var1,Var2,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M22,M23
1,1,1.325625,0.25715625,0.37,0.056245727352019,0.193988684582744,0.473102310231023,462.230127736461,378.90625,210.9375,390.625,251.505206761022,6.03518954512467,13.8497970857518,3.36288294818893,11.7281627244515,6.32027245381223,0,S
1,1,1.4226875,0.46425,0.555,0.190128934478441,0.326319026490357,0.716425778675921,532.899058526944,335.9375,187.5,343.75,255.911739422145,4.10962750700772,2.12467874594145,3.69957827693538,11.0432230682204,7.01063537328227,0,S
1,1,1.48371875,0.5368125,0.625,0.121208930075821,0.361802059858042,0.783040923355588,453.903857653423,332.03125,199.21875,343.75,258.157062077965,6.34652141629013,1.41117765661623,3.62122649414722,10.3716026187343,6.87151439030573,0,K
1,1,1.47459375,1.20196875,0.25,0,0.815118570792803,0.984656791065335,403.953800818074,316.40625,207.03125,574.21875,291.203480501567,10.201822699187,8.99301502060764,2.8111735742676,10.5357849111331,6.14765998195923,0,A
1,1,1.72409375,0.818718749999999,0.555,0.43400638004785,0.47486904351924,0.796777292418118,429.117438429426,402.34375,199.21875,414.0625,241.043290255071,4.5641223672929,-2.38017652007423,3.59581930667226,9.1737543800436,7.35002731191423,0,K
1,1,1.56475,0.973437499999999,0.56,0.340882311824736,0.622104169995206,0.979988816104808,368.464940588889,308.59375,187.5,546.875,232.98429186297,5.70430750028561,-1.44696180953228,3.0383570553856,9.09868355425491,7.76422169770993,0,A
1,1,1.351875,0.944593749999999,0.375,0,0.698728617660656,0.976121128062875,341.375437608153,277.34375,218.75,445.3125,253.712523442512,7.25138195939046,6.50872996559622,3.01715650535818,10.179497649369,5.96734319126631,0,A
1,1,1.94453125,1.4946875,0.435,0,0.768662113298513,0.99236641221374,320.075627055532,265.625,222.65625,363.28125,246.843677446095,11.0445601004916,9.24115303347717,2.98687720751522,13.4969230731234,5.81726526893668,0,A
2,1,1.697,0.6163125,0.315,0,0.363177666470241,0.548799351797289,398.496945608679,367.1875,246.09375,578.125,323.896823560852,18.440839939247,19.0312281465718,2.48633241921816,13.0144987571764,3.18240948145032,0,S
2,1,1.73465625,0.7240625,0.325,0.0983786705098181,0.41740978940352,0.604766794573853,396.90638869008,394.53125,230.46875,464.84375,310.717220124339,14.1190278589929,8.29309628219375,2.93552962495418,11.0372719013528,3.12371839333695,0,S
2,1,1.7043125,0.7625,0.265,0.000385045563725041,0.447394477245223,0.60288239392717,389.327474391501,378.90625,230.46875,476.5625,335.41316593665,22.8149728533606,31.025761086327,2.48528633885562,13.032454202053,3.09660932377244,0,S
2,1,1.89246875,0.7119375,0.53,0.0764035667107001,0.376195115507191,0.656252580128469,373.32783649703,359.375,230.46875,468.75,311.010501764187,17.1680173009051,13.7503463700958,2.40195406514596,14.4491468322123,3.76108639824001,0,S
2,1,1.5170625,1.21490625,0.32,0.12400354295837,0.800828080583364,1.01176204012689,440.035873752983,351.5625,222.65625,503.90625,316.535358749771,16.1329738179937,15.3415922380634,2.84888898223114,12.8788654720875,4.34247378717356,0,A
2,1,1.74478125,1.16503125,0.575,0.559551527742952,0.667723389393369,0.997277595687138,371.79493288765,363.28125,222.65625,480.46875,248.286101970676,2.71946809564757,-6.11835682862114,2.75843602786623,10.3634399637132,3.84417796867028,0,A
2,1,1.8360625,0.792499999999999,0.85,0.313045698238448,0.431630186880893,0.894577390475542,957.887568800326,312.5,214.84375,324.21875,243.274697537957,5.10984110622932,-3.51278175735335,2.71293011339722,11.4087832093397,4.49742311934336,0,T
2,2,0.29825,0.15290625,0.13,0,0.512678122380553,0.948554065381391,245.034880535693,226.5625,132.8125,234.375,179.501360155926,22.6068545453946,10.9755941621041,3.35706006470965,10.8317028330233,2.5156876891899,0,P
2,2,0.7435625,0.30896875,0.405,0.120319394830847,0.415524922249306,0.960200050432882,263.672760139992,132.8125,207.03125,574.21875,279.094483632248,14.1081823100992,5.44266847504738,3.10746531715478,10.0720120727452,4.1249552728955,0,P
2,2,1.5546875,0.54775,0.385,0.00806013949468352,0.352321608040201,0.599959798994975,463.267768077624,378.90625,222.65625,550.78125,321.567969678247,9.94470332916574,10.153617418707,3.28046136596556,12.8749312552014,3.95207801620828,0,S
2,2,1.47078125,0.613125,0.3,0.0513534186036629,0.416870285774992,0.620843514288749,504.944687842194,375,222.65625,539.0625,324.009512603274,6.88693721237302,7.88227543898848,3.62988306297076,12.2976264593144,3.25585222400782,0,S
2,2,1.6108125,0.628,0.44,0.0342405959609677,0.389865362976758,0.663019438947736,504.551746677717,390.625,195.3125,546.875,316.942762998988,9.27222317234842,6.16545224675921,3.65954722656891,13.9837347806188,4.32298526465822,0,S
2,2,1.1878125,0.843749999999999,0.305,0.0947094262187262,0.710339384372533,0.96711391739016,432.282851530756,359.375,214.84375,605.46875,314.892724251274,8.83995321868208,6.81757838353009,3.29546730642992,13.5017832524219,3.92038751359466,0,A
2,2,1.25078125,0.934781249999999,0.29,0.156997951331634,0.74735790131168,0.979212991880074,465.488139062572,347.65625,218.75,585.9375,309.265548003234,6.4075919381768,4.0294445161208,3.76615694422258,13.4939674323191,4.20508188637927,0,A
2,2,1.31640625,0.7983125,0.49,0.326757821772777,0.606433234421365,0.978658753709198,468.959163818721,355.46875,222.65625,562.5,283.364036264066,4.44958883133471,-0.0270429208311762,3.69728011545205,11.8111819671585,4.30751991674281,0,A
2,2,1.3653125,1.012875,0.335,0.0479046027786043,0.741863126573586,0.987228198672465,450.761674345505,355.46875,226.5625,515.625,311.862943666058,7.10793591316061,5.07400013795861,3.85052862498329,12.9905698910755,3.03485142999613,0,A
2,2,2.80075,1.33284375,0.33,0.23626220362622,0.475888154958493,0.59371373739177,441.583579085282,386.71875,195.3125,277.34375,246.324999591827,0.500149571958179,0.131275908922191,3.8831768889753,13.268637809194,4.64638331887571,0,T
